question,course,document
What is the purpose of the year-specific playlists?,data-engineering-zoomcamp,4292531b
Why are additional videos uploaded to the year-specific playlists?,data-engineering-zoomcamp,4292531b
How do I find the correct playlist on the Slack channel?,data-engineering-zoomcamp,4292531b
"What are the expected weekly hours of engagement for students in this course, considering my background and previous experience with modules similar to its modules?",data-engineering-zoomcamp,ea739c65
"Can I calculate the expected weekly hours myself based on the data provided, or is this information only available from an external source?",data-engineering-zoomcamp,ea739c65
What should I do if I realize I need to dedicate more time to the course than initially anticipated?,data-engineering-zoomcamp,ea739c65
Will the course material be so demanding that I'll need to require more hours than the initial expectation of 5-15 hours per week?,data-engineering-zoomcamp,ea739c65
"Can the expected weekly hours for the course increase or decrease over time, or will they remain constant throughout the course?",data-engineering-zoomcamp,ea739c65
How can I follow the course if I'm unable to commit to a live cohort?,data-engineering-zoomcamp,cb257ee5
Can I still earn a certificate if I'm taking the course at my own pace?,data-engineering-zoomcamp,cb257ee5
Will I be able to review my peers' projects in a self-paced mode?,data-engineering-zoomcamp,cb257ee5
Can I consider the self-paced mode as completing the course requirements?,data-engineering-zoomcamp,cb257ee5
Will the certificate be available once I have completed the self-paced mode?,data-engineering-zoomcamp,cb257ee5
What is the video/zoom link to the stream for the “Office Hour” or workshop sessions?,data-engineering-zoomcamp,04aa4897
How do students participate in the live sessions?,data-engineering-zoomcamp,04aa4897
How do I submit my questions during the live sessions?,data-engineering-zoomcamp,04aa4897
Will I see the live sessions on the DataTalksClub YouTube Channel?,data-engineering-zoomcamp,04aa4897
Should I post my questions in the chat during the live sessions?,data-engineering-zoomcamp,04aa4897
"What if I can't attend the Office hours workshop session, will the recordings be available?",data-engineering-zoomcamp,9681be3b
Will the Office hours sessions be recorded and available online?,data-engineering-zoomcamp,9681be3b
What will happen if I miss an Office hours lecture?,data-engineering-zoomcamp,9681be3b
Will the recording of Office hours be available to us?,data-engineering-zoomcamp,9681be3b
Will the live Office hours be recorded and available afterwards?,data-engineering-zoomcamp,9681be3b
What are the responsibilities that come with being an online student?,data-engineering-zoomcamp,a1daf537
How do I know when homework or project deadlines are approaching?,data-engineering-zoomcamp,a1daf537
Where can I find the updated homework and project deadlines?,data-engineering-zoomcamp,a1daf537
Can I trust the deadlines provided on the website?,data-engineering-zoomcamp,a1daf537
Are there any extensions granted for late submissions?,data-engineering-zoomcamp,a1daf537
Are late submissions of homework allowed in the course?,data-engineering-zoomcamp,be5bfee4
Is it possible to still submit finished homework after the due date if the submission form is still open?,data-engineering-zoomcamp,be5bfee4
What is the policy on accepting late homework submissions?,data-engineering-zoomcamp,be5bfee4
Can I still submit my homework if the submission form is still open past the deadline?,data-engineering-zoomcamp,be5bfee4
How can I confirm that my late homework submission was received?,data-engineering-zoomcamp,be5bfee4
"What is the purpose of my repository on GitHub, GitLab, or BitBucket for homework?",data-engineering-zoomcamp,0e424a44
Can I use any other location for my code besides the link provided?,data-engineering-zoomcamp,0e424a44
What makes a 'reasonable person' think I have completed the week's exercises?,data-engineering-zoomcamp,0e424a44
"Is my GitHub, GitLab, or BitBucket repository the only place where I can upload my homework?",data-engineering-zoomcamp,0e424a44
How do I know if my homework URL is correct?,data-engineering-zoomcamp,0e424a44
What is the system for points in the course management platform that I can use to submit my homework?,data-engineering-zoomcamp,29865466
How do I determine how many points I have for each specific homework submission?,data-engineering-zoomcamp,29865466
What does the leaderboard show regarding points earned in the course management platform?,data-engineering-zoomcamp,29865466
How many points do I earn for submitting something to the FAQ section?,data-engineering-zoomcamp,29865466
"For learning in public links, how many points do I earn for each?",data-engineering-zoomcamp,29865466
How do I get on the leaderboard?,data-engineering-zoomcamp,016d46a1
Why am I not on the leaderboard?,data-engineering-zoomcamp,016d46a1
What's my display name?,data-engineering-zoomcamp,016d46a1
How can I see my leaderboard?,data-engineering-zoomcamp,016d46a1
Can I change my display name?,data-engineering-zoomcamp,016d46a1
Is Python 3.9 still the recommended version to use in 2024 considering the simplicity and stability it provides?,data-engineering-zoomcamp,47972cb1
"What if I use a different Python version such as 3.10 and 3.11, would that be okay?",data-engineering-zoomcamp,47972cb1
Why do I need to use a specific version of Python?,data-engineering-zoomcamp,47972cb1
Are there any changes to the recommended Python version that I should know about?,data-engineering-zoomcamp,47972cb1
Would using a newer or older version of Python cause issues with the course material?,data-engineering-zoomcamp,47972cb1
"What environment setup should I use if I don't want to face challenges, especially for Windows users?",data-engineering-zoomcamp,ddf6c1b3
Can I set up the environment on my laptop or PC?,data-engineering-zoomcamp,ddf6c1b3
Should I use Docker for the week 1 Introduction?,data-engineering-zoomcamp,ddf6c1b3
"Can I work on the environment virtually from different locations, like home and office?",data-engineering-zoomcamp,ddf6c1b3
Is it viable to use a cloud-based virtual machine instead of setting it up locally?,data-engineering-zoomcamp,ddf6c1b3
Is GitHub codespaces an alternative to using cli/git bash to ingest the data and create a docker file?,data-engineering-zoomcamp,ac25d3af
Can we use GitHub repository in Linux resources with pre-installed tools?,data-engineering-zoomcamp,ac25d3af
What kind of tools does GitHub Codespaces provide?,data-engineering-zoomcamp,ac25d3af
Can I open any GitHub repository with GitHub Codespaces?,data-engineering-zoomcamp,ac25d3af
Do GitHub Codespaces have Docker and Docker Compose pre-installed?,data-engineering-zoomcamp,ac25d3af
What are the exact requirements for using a Linux environment for the course?,data-engineering-zoomcamp,251218fc
Are PostgreSQL & Docker the only allowed database and containerization tools?,data-engineering-zoomcamp,251218fc
Do we need to use a specific version of PostgreSQL?,data-engineering-zoomcamp,251218fc
Is GCP VM the only cloud platform we can use for the course?,data-engineering-zoomcamp,251218fc
Can we use a personal laptop or computer for the course?,data-engineering-zoomcamp,251218fc
"Can I use both GitHub Codespaces and Google Cloud Platform (GCP) for the course, or do I need to choose between them?",data-engineering-zoomcamp,3c0114ce
"What is the preferred option for the end project, using GitHub Codespaces or GCP?",data-engineering-zoomcamp,3c0114ce
"Is it necessary to have both GitHub Codespaces and GCP for this course, or can I use one of them?",data-engineering-zoomcamp,3c0114ce
"Which option is generally more beneficial for learning, GitHub Codespaces or GCP?",data-engineering-zoomcamp,3c0114ce
Can I set up a local environment instead of using GitHub Codespaces or GCP for this course?,data-engineering-zoomcamp,3c0114ce
"Can I use both GitHub Codespaces and Google Cloud Platform (GCP) for the course, or do I need to choose between them?",data-engineering-zoomcamp,f43f5fe7
"What is the preferred option for the end project, using GitHub Codespaces or GCP?",data-engineering-zoomcamp,f43f5fe7
"Is it necessary to have both GitHub Codespaces and GCP for this course, or can I use one of them?",data-engineering-zoomcamp,f43f5fe7
"Which option is generally more beneficial for learning, GitHub Codespaces or GCP?",data-engineering-zoomcamp,f43f5fe7
Can I set up a local environment instead of using GitHub Codespaces or GCP for this course?,data-engineering-zoomcamp,f43f5fe7
"What are the reasons behind choosing Google Cloud Provider (GCP) over other cloud providers, and what are the benefits?",data-engineering-zoomcamp,d061525d
"Are we restricted to using only GCP, or can we use other cloud platforms like AWS?",data-engineering-zoomcamp,d061525d
Why does everyone having a Google account make a difference in the course?,data-engineering-zoomcamp,d061525d
"What are the available free trial periods and credits for new users, and how can we sign up for a free GCP account?",data-engineering-zoomcamp,d061525d
What services will be provided by other cloud platforms like Azure and AWS if we are comfortable using them?,data-engineering-zoomcamp,d061525d
What if I encounter trouble with GCP's free trial?,data-engineering-zoomcamp,1cd01b2c
Can I trust the accuracy of the course materials?,data-engineering-zoomcamp,1cd01b2c
Is it necessary to use specific software for the course?,data-engineering-zoomcamp,1cd01b2c
How can I be sure the course materials are up-to-date?,data-engineering-zoomcamp,1cd01b2c
Are there any recommended resources outside of the course?,data-engineering-zoomcamp,1cd01b2c
questions,data-engineering-zoomcamp,e4a7c3b0
"Can I use Amazon Web Services (AWS) for the environment setup in the course, or is there a recommended platform?",data-engineering-zoomcamp,7cd1912e
"I've decided to use AWS for the environment setup, but will I still be able to get help from instructors and fellow students, since it's not the recommended platform?",data-engineering-zoomcamp,7cd1912e
"Since the course emphasizes Google Cloud Platform (GCP), will I be disadvantaged in the final capstone project if I choose to use AWS?",data-engineering-zoomcamp,7cd1912e
Can I adapt the tutorials and information on the videos to use AWS instead of GCP?,data-engineering-zoomcamp,7cd1912e
"While I'm using AWS, can I still get help from instructors and fellow students, or will I be mostly relying on those who also use AWS?",data-engineering-zoomcamp,7cd1912e
When are the live Zoom calls besides the 'Office Hour'?,data-engineering-zoomcamp,52393fb3
Are there any other live Zoom calls besides the 'Office Hour' and how often will they occur?,data-engineering-zoomcamp,52393fb3
"Will there be additional live Zoom calls during the course and if so, how will we be notified?",data-engineering-zoomcamp,52393fb3
Are there any more live Zoom calls scheduled besides the 'Office Hour'?,data-engineering-zoomcamp,52393fb3
Can you elaborate on the live Zoom calls that will happen during the Capstone period?,data-engineering-zoomcamp,52393fb3
"Will we be using updated data for the NYC Trip project, considering 2022 has already started?",data-engineering-zoomcamp,10515af5
Are we continuing with the same data from last year's project?,data-engineering-zoomcamp,10515af5
Will we still be analyzing the January 2021 data for the NYC Trip project?,data-engineering-zoomcamp,10515af5
Can we confirm if we'll be using the same dataset as last year?,data-engineering-zoomcamp,10515af5
Will we be looking at the same data sets for both years' projects?,data-engineering-zoomcamp,10515af5
Is the 2022 course material still available?,data-engineering-zoomcamp,cdb86a97
Do I need to do any specific programming languages for this course?,data-engineering-zoomcamp,cdb86a97
What kind of tools will we be using in this course?,data-engineering-zoomcamp,cdb86a97
Is the grading system the same as last year's course?,data-engineering-zoomcamp,cdb86a97
Will I have access to the 2022 project template?,data-engineering-zoomcamp,cdb86a97
"What are some alternative tools I can use for the final project, similar to Airflow?",data-engineering-zoomcamp,3e0114ad
"Is it necessary to use the recommended tools for the project, or are there other options available?",data-engineering-zoomcamp,3e0114ad
Can I use a different workflow management tool for the project?,data-engineering-zoomcamp,3e0114ad
Are there specific features that a tool for the project should have?,data-engineering-zoomcamp,3e0114ad
Are there any tools that would be particularly difficult to work with for the project?,data-engineering-zoomcamp,3e0114ad
What are the alternatives to using Mage in the course?,data-engineering-zoomcamp,b2799574
Can I use Airflow or Prefect instead of the recommended tool?,data-engineering-zoomcamp,b2799574
Are there any alternatives to using GCP products?,data-engineering-zoomcamp,b2799574
Can I use Tableau instead of Metabase or Google data studio?,data-engineering-zoomcamp,b2799574
Can I use a different data stack than the ones recommended in the course?,data-engineering-zoomcamp,b2799574
How can I contribute to the course materials if I think they're useful?,data-engineering-zoomcamp,2f19301f
Can I share the course with my friends or classmates if I find it helpful?,data-engineering-zoomcamp,2f19301f
What if I spot errors or propose improvements to the course content?,data-engineering-zoomcamp,2f19301f
Can I create a pull request if I see ways to enhance the repository?,data-engineering-zoomcamp,2f19301f
How can I make my peers know about the course if I think it's valuable?,data-engineering-zoomcamp,2f19301f
"How does the course fare with different operating systems, such as Windows or Mac, considering it mentions Linux as ideal?",data-engineering-zoomcamp,7c700adb
Will I have any difficulties while using Linux as the course seems to favour it?,data-engineering-zoomcamp,7c700adb
Is it possible to use my Windows/Mac for this course without any tech issues?,data-engineering-zoomcamp,7c700adb
"Can I use either Windows, Mac, or Linux for this course without facing any compatibility issues?",data-engineering-zoomcamp,7c700adb
What technical specifications are required to follow this course?,data-engineering-zoomcamp,7c700adb
What happens when Windows users encounter issues with shell scripts in modules with *.sh files as they move forward in the course?,data-engineering-zoomcamp,44b14808
Why do later modules rely so heavily on shell scripts that might not work for most Windows users?,data-engineering-zoomcamp,44b14808
Is there a recommended setup for Windows users to run shell scripts in modules with *.sh files if they're not using WSL?,data-engineering-zoomcamp,44b14808
Can we get some guidance on how to navigate the potential roadblocks for Windows users in these modules?,data-engineering-zoomcamp,44b14808
Are there any tips or workarounds for Windows users who want to progress in the course despite the issues with shell scripts?,data-engineering-zoomcamp,44b14808
What are some necessary prerequisites to take this course?,data-engineering-zoomcamp,76e4baf6
Are there any specific programming languages or software I should be familiar with before starting the course?,data-engineering-zoomcamp,76e4baf6
Are there any online tutorials or courses that can help me prepare for the course?,data-engineering-zoomcamp,76e4baf6
"What is the best way to approach the course material, and how can I make sure I'm on track with the lessons?",data-engineering-zoomcamp,76e4baf6
"What additional resources should I take a look at, aside from the course materials?",data-engineering-zoomcamp,76e4baf6
What is the purpose of having a first and second attempt for the project submissions?,data-engineering-zoomcamp,48b533a8
How do the deadlines for the first and second attempts work?,data-engineering-zoomcamp,48b533a8
Can I submit a project on the first attempt but still have a chance to reassess after the grade is given?,data-engineering-zoomcamp,48b533a8
What happens if I submit a project on the first attempt and it's deemed unsatisfactory? Do I still have a chance to resubmit?,data-engineering-zoomcamp,48b533a8
Are there any specific requirements I need to meet for my project to be accepted on the second attempt?,data-engineering-zoomcamp,48b533a8
What are the first steps to troubleshoot issues I'm encountering in the course?,data-engineering-zoomcamp,954044d1
Can I search for solutions to my problem using specific keywords?,data-engineering-zoomcamp,954044d1
What should I do if I'm unable to resolve an issue after trying the troubleshooting steps?,data-engineering-zoomcamp,954044d1
How do I properly ask a question on Stackoverflow and other platforms?,data-engineering-zoomcamp,954044d1
What should I do if I'm stuck on a problem and can't seem to find a solution?,data-engineering-zoomcamp,954044d1
What steps can I take if the video tutorial I'm following doesn't help me solve my problem?,data-engineering-zoomcamp,a820b9b3
How do I know if I'm providing enough information when asking for help?,data-engineering-zoomcamp,a820b9b3
Can I ask for help on a specific programming language I'm using with this course?,data-engineering-zoomcamp,a820b9b3
"What if I don't understand something in this course, how can I clarify it?",data-engineering-zoomcamp,a820b9b3
"I'm getting an error message, how can I make sure I provide the most relevant information to the instructors?",data-engineering-zoomcamp,a820b9b3
How do I set up a local repository on my computer for this course?,data-engineering-zoomcamp,f2945cd2
How do I ignore large database and other unwanted files when using Git?,data-engineering-zoomcamp,f2945cd2
What is the best way to store my notes and versions of files for this course?,data-engineering-zoomcamp,f2945cd2
Should I store my passwords and keys in a Git repository?,data-engineering-zoomcamp,f2945cd2
Are there any other resources you would recommend for learning Git and GitHub?,data-engineering-zoomcamp,f2945cd2
